EEG_microvolts,Label
32.76,happy
29.14,happy
21.86,happy
24.7,happy
27.63,happy
19.08,happy
34.95,happy
16.98,happy
31.78,happy
41.33,happy
37.02,happy
20.33,happy
23.46,happy
17.37,happy
40.12,happy
36.71,happy
32.41,happy
25.45,happy
22.88,happy
25.29,happy
23.46,happy
21.85,happy
36.45,happy
18.9,happy
39.59,happy
32.17,happy
36.5,happy
37.8,happy
25.5,happy
19.68,happy
44.18,happy
38.36,happy
21.88,happy
30.98,happy
26,happy
35.4,happy
36.33,happy
42.97,happy
33.76,happy
42.28,happy
22.7,happy
39.75,happy
18.9,happy
21.5,happy
26.91,happy
31.1,happy
16.26,happy
33.1,happy
33.02,happy
31.26,happy
21.1,happy
30.64,happy
39.21,happy
23.57,happy
32.33,happy
28.99,happy
33.98,happy
33.78,happy
31.21,happy
18.01,happy
26.64,happy
31.59,happy
23.21,happy
30.35,happy
21.69,happy
42.88,happy
22.76,happy
19.64,happy
33.22,happy
24.78,happy
37.22,happy
19.8,happy
32.07,happy
40.31,happy
36.17,happy
30.82,happy
28.4,happy
37.4,happy
22.9,happy
43.54,happy
31.93,happy
36.74,happy
34.95,happy
28.26,happy
20.54,happy
33.46,happy
29.4,happy
18.6,happy
26.68,happy
34.52,happy
18.15,happy
19.21,happy
41.09,happy
24.96,happy
32.97,happy
37.69,happy
26.75,happy
21.51,happy
22.14,happy
28.82,happy
31.33,happy
22.81,happy
24.7,happy
20.43,happy
19.29,happy
25.17,happy
28.9,happy
28.31,happy
26.81,happy
28.71,happy
37.45,happy
23.88,happy
24.32,happy
28.99,happy
33.11,happy
37.11,happy
31.74,happy
27.69,happy
33.13,happy
38.25,happy
24.69,happy
33,happy
32.55,happy
24.95,happy
29.93,happy
38.71,happy
36.1,happy
35.43,happy
23.86,happy
31.26,happy
24.6,happy
26.06,happy
38.21,happy
30.08,happy
33.99,happy
30.29,happy
33.4,happy
32.96,happy
23.92,happy
28.32,happy
38.83,happy
29.54,happy
21.41,happy
30.31,happy
31.56,happy
34.19,happy
24.97,happy
32.04,happy
33.05,happy
32.56,happy
27.81,happy
22.96,happy
26.82,happy
35.46,happy
25.73,happy
27.72,happy
29.64,happy
31.27,happy
36.71,happy
35.71,happy
35.81,happy
29.15,happy
32.82,happy
32.78,happy
19.16,happy
32.91,happy
23.13,happy
25.36,happy
26.45,happy
41.01,happy
21.71,happy
31.84,happy
28.23,happy
22.46,happy
26.42,happy
36.34,happy
25.91,happy
23.13,happy
35.63,happy
27.17,happy
24.09,happy
21.85,happy
30.9,happy
31.16,happy
32.92,happy
39.14,happy
34.84,happy
38.26,happy
31.32,happy
29.67,happy
30.03,happy
